motVedette;nbSyll;origin;sampa;ipa
embattled;3;embăʹttled;E m b { 4 @ l d;ɛmbæɾəld
embellish;3;embĕʹlliſh;i m b E l i S;imbɛliʃ
embellishment;4;embĕʹllĭſhment;E m b E l i S m @ n t;ɛmbɛliʃmənt
embers;2;ĕʹmbers;E m b 3:r z;ɛmbɜ:rz
embezzle;3;ĕmbĕʹzzle;i m b E z @ l;imbɛzəl
emblem;2;ĕʹmblem;E m b l @ m;ɛmbləm
emblematic;4;ĕmblĕmăʹtic;E m b l @ m { 4 i k;ɛmbləmæɾik
emboss;2;ĕmbŏʹſs;i m b O: s;imbOːs
embrace;2;ĕmbrāʹce;E m b r\ eI s;ɛmbɹ?s
embroidery;4;ĕmbroiʹd_e_ry;E m b r\ OI 4 3:r i:;ɛmbɹ?ɾɜ:riː
embroider;3;embroiʹd_e_r;i m b r\ OI 4 3:r;imbɹ?ɾɜ:r
embroil;2;ĕmbroiʹl;E m b r\ OI l;ɛmbɹ?l
emerald;3;ĕʹmĕrăld;E m r\ @ l d;ɛmɹəld
emerge;2;emĕʹrge;i m 3:r dZ;imɜ:r?
emergency;4;emĕʹrgĕncy;i m 3:r dZ @ n s i:;imɜ:r?ənsiː
emery;3;ĕʹmĕry;E m 3:r i:;ɛmɜ:riː
emigration;5;emĭgrāʹtion;E m @ g r\ eI S @ n;ɛməgɹ?ʃən
eminence;3;ĕʹmĭnĕnce;E m @ n @ n s;ɛmənəns
eminent;3;ĕʹmĭnent;E m @ n @ n t;ɛmənənt
emir;2;eʹmĭr;i m I r\;imɪɹ
emissary;4;ĕmĭʹſſary;E m @ s E r\ i:;ɛməsɛɹiː
emission;4;emĭʹſſion;i m I S @ n;imɪʃən
emit;2;emĭʹt;i m I t;imɪt
emmet;2;eʹmmet;E m i t;ɛmit
emotion;4;emōʹtion;i m @U S @ n;imoʊʃən
emperor;3;ĕʹmpĕror;E m p 3:r 3:r;ɛmpɜ:rɜ:r
emphasis;3;ĕʹmphăſis;E m f @ s @ s;ɛmfəsəs
empire;2;ĕʹmpĭre;E m p aI 3:r;ɛmp?ɜ:r
employ;2;ĕmployʹ;E m p l OI;ɛmpl?
emporium;4;ĕmpōʹrĭum;E m p O: r\ i: @ m;ɛmpOːɹiːəm
empress;2;ĕʹmpreſs;E m p r\ E s;ɛmpɹɛs
empty;2;ĕʹmpty;E m p t i:;ɛmptiː
emulate;3;ĕmūlāte;E m j @ l eI t;ɛmjəl?t
emulation;5;ĕmūlāʹtion;E m j @ l eI S @ n;ɛmjəl?ʃən
emulsion;4;emŭʹlſion;i m V l S @ n;imʌlʃən
enable;3;enāʹble;E n eI b @ l;ɛn?bəl
enact;2;enăʹct;i n { k t;inækt
enamel;3;enăʹmel;i n { m @ l;inæməl
enamoured;4;enăʹmo_u_red;E n { m 3:r d;ɛnæmɜ:rd
encamp;2;encăʹmp;i n k { m p;inkæmp
enchant;2;ĕnchăʹnt;E n tS { n t;ɛn?ænt
enchantment;3;ĕnchăʹntment;E n tS { n t m @ n t;ɛn?æntmənt
encircle;3;ĕncĭʹrcle;E n s 3:r k @ l;ɛnsɜ:rkəl
encourage;3;ĕnc_o_ŭʹrage;E n k 3:r i dZ;ɛnkɜ:ri?
encouragement;4;ĕnc_o_ŭʹrag_e_ment;E n k 3:r i dZ m @ n t;ɛnkɜ:ri?mənt
encroach;2;ĕncroaʹch;i n k r\ @U tS;inkɹoʊ?
endear;2;endeaʹr;E n d i: r\;ɛndiːɹ
endearment;3;endeaʹrment;i n d I r\ m @ n t;indɪɹmənt
endeavour;3;ĕndeaʹvo_u_r;i n d E v 3:r;indɛvɜ:r
endive;2;ĕndĭʹve;E n d i v;ɛndiv
endless;2;eʹndleſs;E n d l @ s;ɛndləs
endow;2;endȯʹẇ;E n d aU;ɛnd?
endowment;3;ĕndȯʹẇment;E n d aU m @ n t;ɛnd?mənt
endure;2;ĕndūʹre;E n d j U r\;ɛndjʊɹ
enema;3;ĕʹnĕmā;E n @ m @;ɛnəmə
enemy;3;ĕʹnĕmy;E n @ m i:;ɛnəmiː
energy;3;ĕʹnĕrgy;E n 3:r dZ i:;ɛnɜ:r?iː
enfeeble;3;ĕnfeeʹble;E n f i: b @ l;ɛnfiːbəl
enfranchise;3;ĕnfrăʹnchīſe;i n f r\ { n tS aI z;infɹæn??z
engage;2;ĕngāʹge;E n g eI dZ;ɛng??
engender;3;ĕngĕʹnd_e_r;E n dZ E n d 3:r;ɛn?ɛndɜ:r
engine;2;ĕʹngīne;E n dZ @ n;ɛn?ən
engineer;3;engĭneeʹr;E n dZ @ n I r\;ɛn?ənɪɹ
english;2;ĕʹngliſh;I N g l i S;ɪŋgliʃ
engrave;2;ĕngrāʹve;i n g r\ eI v;ingɹ?v
engross;2;ĕngrŏʹſs.;i n g r\ @U s;ingɹoʊs
enhance;2;ĕnhăʹnce;E n h { n s;ɛnhæns
enigma;3;ĕnĭʹgmā;i n I g m @;inɪgmə
enigmatic;4;ĕnĭgmăʹtic;E n i g m { 4 i k;ɛnigmæɾik
enjoin;2;ĕnjoiʹn;E n dZ OI n;ɛn??n
enjoy;2;ĕnjoʹy;E n dZ OI;ɛn??
enjoyment;3;ĕnjoʹyment;E n dZ OI m @ n t;ɛn??mənt
enlarge;2;ĕnlāʹrge;E n l A r\ dZ;ɛnlɑɹ?
enlighten;3;ĕnlīʹ_gh_t_e_n;E n l aI t @ n;ɛnl?tən
enliven;3;enlīʹv_e_n;E n l aI v @ n;ɛnl?vən
enmity;3;ĕʹnmĭty;E n m @ 4 i:;ɛnməɾiː
ennoble;3;ĕnnōʹble;i n @U b @ l;inoʊbəl
enormity;4;ĕnŏʹrmĭty;i n O: r\ m @ 4 i:;inOːɹməɾiː
enormous;3;ĕnōʹrm_o_ūs;i n O: r\ m @ s;inOːɹməs
enquire;2;ĕnquīʹre;i n k w aI 3:r;inkw?ɜ:r
enrage;2;ĕnrāʹge;E n r\ eI dZ;ɛnɹ??
enrich;2;ĕnrĭʹch;E n r\ I tS;ɛnɹɪ?
ensign;2;ĕʹnsīgn;E n s @ n;ɛnsən
ensue;2;ĕnsūeʹ;i n s u;insu
entail;2;entaiʹl;E n t eI l;ɛnt?l
enter;2;ĕʹnt_e_r;E n t 3:r;ɛntɜ:r
entertain;3;ĕntĕrtaiʹn;E n t 3:r t eI n;ɛntɜ:rt?n
entertainment;4;ĕntĕrtaiʹnment;E n t 3:r t eI n m @ n t;ɛntɜ:rt?nmənt
entertaining;4;ĕntĕrtaiʹning;E n t 3:r t eI n i N;ɛntɜ:rt?niŋ
enthral;2;ĕnthraʹl;E n T r\ O: l;ɛnθɹOːl
enthusiasm;4;enthūʹsĭăſm;i n T u z i: { z @ m;inθuziːæzəm
enthusiast;4;ĕnthūʹsĭaſt;E n T u z i: { s t;ɛnθuziːæst
enthusiastic;5;ĕnthūsĭăʹſtĭc;i n T u z i: { s t i k;inθuziːæstik
entice;2;ĕntīʹce;i n t aI s;int?s
entire;2;ĕntīʹre;i n t aI 3:r;int?ɜ:r
entity;3;ĕʹntĭty;E n t @ 4 i:;ɛntəɾiː
entrails;2;ĕʹntrails;E n t r\ @ l z;ɛntɹəlz
entrance;2;ĕʹntrănce;E n t r\ @ n s;ɛntɹəns
entry;2;ĕʹntry;E n t r\ i:;ɛntɹiː
entries;2;eʹntries;E n t r\ i: z;ɛntɹiːz
entwine;2;ĕntwīʹne;E n t w aI n;ɛntw?n
envious;3;ĕʹnvī_o_us;E n v i: @ s;ɛnviːəs
enumerate;4;ĕnūʹmĕrāte;i n u m 3:r eI t;inumɜ:r?t
enumeration;6;ĕnūmĕrāʹtion;i n u m 3:r eI S @ n;inumɜ:r?ʃən
envoy;2;ĕʹnvoy;E n v OI;ɛnv?
envy;2;ĕʹnvy;E n v i:;ɛnviː
epic;2;ĕʹpic;E p i k;ɛpik
epicurean;5;ĕpĭcūrēʹăn;E p @ k j U r\ i: @ n;ɛpəkjʊɹiːən
epidemic;4;ĕpĭdĕʹmic;E p @ d E m i k;ɛpədɛmik
epidermis;4;ĕpĭdĕʹrmis;E p @ d 3:r m @ s;ɛpədɜ:rməs
epigram;3;ĕʹpĭgrăm;E p @ g r\ { m;ɛpəgɹæm
epileptic;4;ĕpĭlĕʹptic;E p @ l E p t i k;ɛpəlɛptik
epilogue;3;ĕʹpĭlog_ue_;E p @ l O: g;ɛpəlOːg
epiphany;4;ĕpĭʹphăny;i p I f @ n i:;ipɪfəniː
episcopal;4;ĕpĭʹſcŏpal;i p I s k @ p @ l;ipɪskəpəl
episcopalians;6;epĭſcŏpāʹlĭans;i p I s k @ p eI l i: @ n z;ipɪskəp?liːənz
episode;3;ĕʹpĭsōde;E p @ s @U d;ɛpəsoʊd
epistle;3;ĕʹpĭʹſtle;i p I s @ l;ipɪsəl
epistolary;5;epĭʹſtŏlăry;i p I s t @ l E r\ i:;ipɪstəlɛɹiː
epitaph;3;ĕʹpĭtăph;E p @ t { f;ɛpətæf
epithet;3;ĕʹpĭthet;E p @ T E t;ɛpəθɛt
epitome;4;ĕpĭʹtŏmè;i p I 4 @ m i:;ipɪɾəmiː
epitomize;4;ĕpĭʹtŏmīze;i p I 4 @ m aI z;ipɪɾəm?z
epoch;2;ĕʹpoch;E p @ k;ɛpək
equable;3;ĕʹquable;E k w @ b @ l;ɛkwəbəl
equal;2;eʹqual;i: k w @ l;iːkwəl
equality;4;equaʹlĭty;i k w A l @ 4 i:;ikwɑləɾiː
equanimity;5;equănĭʹmĭty;i: k w @ n I m i 4 i:;iːkwənɪmiɾiː
equation;4;equāʹtion;i k w eI Z @ n;ikw?ʒən
equator;3;equāʹtor;i k w eI 4 3:r;ikw?ɾɜ:r
equestrian;4;ĕquĕʹſtrĭan;i k w E s t r\ i: @ n;ikwɛstɹiːən
equiangular;5;equĭăngŭlar;i: k w @ { N g j @ l 3:r;iːkwəæŋgjəlɜ:r
equilibrium;5;equĭlĭʹbrĭum;i: k w @ l I b r\ i: @ m;iːkwəlɪbɹiːəm
equinoctial;5;ĕquĭnŏʹctial;i: k w I n A k S @ l;iːkwɪnɑkʃəl
equinoxes;4;ĕʹquĭnŏxès;i: k w @ n A k s I z;iːkwənɑksɪz
equip;2;equĭʹp;i k w I p;ikwɪp
equipage;3;ĕʹquĭpage;E k w I p i dZ;ɛkwɪpi?
equity;3;ĕʹquĭty;E k w @ 4 i:;ɛkwəɾiː
equivalent;4;equĭʹvălent;i k w I v @ l @ n t;ikwɪvələnt
equivocal;4;equĭʹvŏcal;i k w I v @ k @ l;ikwɪvəkəl
equivocate;4;equĭʹvŏcăte;i k w I v @ k eI t;ikwɪvək?t
equivocation;6;equĭvŏcāʹtion;i k w i v @ k eI S @ n;ikwivək?ʃən
eradicate;4;erāʹdĭcāte;i r\ { 4 @ k eI t;iɹæɾək?t
eradication;6;erădĭcāʹtion;i r\ { 4 @ k eI S @ n;iɹæɾək?ʃən
ere;1;ēre;E r\;ɛɹ
erect;2;erĕʹct;i r\ E k t;iɹɛkt
erection;4;erĕʹction.;i r\ E k S @ n;iɹɛkʃən
ermine;2;ĕʹrmĭne;3:r m @ n;ɜ:rmən
erode;2;erōʹde;i r\ @U d;iɹoʊd
eroding;3;erōʹding;i r\ @U 4 i N;iɹoʊɾiŋ
err;1;err;E r\;ɛɹ
errand;2;ĕʹrrănd;E r\ @ n d;ɛɹənd
errant;2;eʹrrănt;E r\ @ n t;ɛɹənt
erratic;3;errăʹtic;i r\ { 4 i k;iɹæɾik
erroneous;4;ĕrrōʹne_o_us;E r\ @U n i: @ s;ɛɹoʊniːəs
error;2;ĕʹrror;E r\ 3:r;ɛɹɜ:r
erudition;5;erūdĭʹtion;E r\ @ d I S @ n;ɛɹədɪʃən
eruption;4;erūʹption;i r\ V p S @ n;iɹʌpʃən
espalier;3;ĕſpălieʹr;E s p { l j 3:r;ɛspæljɜ:r
especially;5;eſpĕʹcĭally;@ s p E S l i:;əspɛʃliː
esplanade;3;ĕſplănāʹde;E s p l @ n A d;ɛsplənɑd
espy;2;eſpyʹ;E s p i:;ɛspiː
esquire;2;eſquīʹre;E s k w aI r\;ɛskw?ɹ
essay;2;ĕʹſſay;E s eI;ɛs?
essence;2;ĕʹſſĕnce;E s @ n s;ɛsəns
essences;3;ĕʹſſĕnces;E s @ n s i z;ɛsənsiz
establish;3;eſtăʹbliſh;i s t { b l i S;istæbliʃ
establishment;4;eſtăʹblĭſhment;i s t { b l i S m @ n t;istæbliʃmənt
estate;2;eſtāʹte;i s t eI t;ist?t
esteem;2;eſteeʹm;@ s t i: m;əstiːm
estimable;4;ĕʹſtĭmable;E s t @ m @ b @ l;ɛstəməbəl
estimate;3;ĕʹſtĭmāte;E s t @ m @ t;ɛstəmət
estrange;2;ĕſtrāʹnge;E s t r\ eI n dZ;ɛstɹ?n?
etching;2;ĕʹtching;E tS i N;ɛ?iŋ
eternal;3;etĕʹrnal;i t 3:r n @ l;itɜ:rnəl
eternity;4;etĕʹrnĭty;i t 3:r n @ 4 i:;itɜ:rnəɾiː
ethereal;4;ethēʹrėȧl;i T I r\ i: @ l;iθɪɹiːəl
ethics;2;ĕʹthics;E T i k s;ɛθiks
ethnic;2;ĕʹthnĭc;E T n i k;ɛθnik
evacuate;4;evăʹcūāte;i v { k j @ eI t;ivækjə?t
evacuation;6;evăcūāʹtion;i v { k j @ w eI S @ n;ivækjəw?ʃən
evade;2;evāʹde;i v eI d;iv?d
evangelical;5;evăngēʹlĭcal;i: v { n dZ E l i k @ l;iːvæn?ɛlikəl
evaporate;4;evăʹpŏrāte;i v { p 3:r eI t;ivæpɜ:r?t
evaporation;6;evăpŏrāʹtion;i v { p 3:r eI S @ n;ivæpɜ:r?ʃən
eve;1;ēve;i: v;iːv
evening;3;ēʹvĕning;i: v n i N;iːvniŋ
evenness;3;ēʹvĕnneſs;i: v @ n n @ s;iːvənnəs
event;2;ēvĕʹnt;i v E n t;ivɛnt
eventual;4;ēvĕʹntūal;@ v E n tS u @ l;əvɛn?uəl
ever;2;ĕʹvĕr;E v 3:r;ɛvɜ:r
evergreen;3;ĕʹvĕrgreen;E v 3:r g r\ i: n;ɛvɜ:rgɹiːn
everlasting;4;ĕvĕrlăʹſting;E v 3:r l { s t i N;ɛvɜ:rlæstiŋ
eves;1;ēves;i: v z;iːvz
evidence;3;ĕʹvĭdĕnce;E v @ d @ n s;ɛvədəns
evident;3;ĕʹvĭdent;E v @ d @ n t;ɛvədənt
evil;2;ēʹvil;i: v @ l;iːvəl
evince;2;evĭʹnce;i v I n s;ivɪns
eulogy;3;euʹlŏgy;j u l @ dZ i:;julə?iː
evolution;5;evŏlūʹtion;E v @ l u S @ n;ɛvəluʃən
europe;2;euʹrōpe;j U r\ @ p;jʊɹəp
european;4;eurōʹpėȧn;j U r\ @ p i: @ n;jʊɹəpiːən
ewe;1;ewe;j u;ju
ewer;2;eʹwer;j u 3:r;juɜ:r
exact;2;exăʹct;i g z { k t;igzækt
exaction;4;exăʹction;i g z { k S @ n;igzækʃən
exactness;3;exăʹctneſs;i g z { k t n @ s;igzæktnəs
exaggerate;4;exăʹggĕrāte;i g z { dZ 3:r eI t;igzæ?ɜ:r?t
exaggeration;6;exăggĕrāʹtion;i g z { dZ 3:r eI S @ n;igzæ?ɜ:r?ʃən
exalt;2;exaʹlt;i g z O: l t;igzOːlt
examination;6;exăʹmĭnāʹtion;i g z { m @ n eI S @ n;igzæmən?ʃən
examine;3;exăʹmĭne;i g z { m i n;igzæmin
example;3;exăʹmple;i g z { m p @ l;igzæmpəl
exasperate;4;exăʹſpĕrāte;i g z { s p 3:r eI t;igzæspɜ:r?t
exceed;2;exceeʹd;i k s i: d;iksiːd
exceeding;3;exceeʹding;i k s i: 4 i N;iksiːɾiŋ
excel;2;exceʹl;i k s E l;iksɛl
excellence;3;ĕʹxcĕllĕnce;E k s @ l @ n s;ɛksələns
excellency;4;ĕʹxcĕllĕncy;E k s l E n s i:;ɛkslɛnsiː
excellent;3;ĕʹxcellent;E k s @ l @ n t;ɛksələnt
except;2;excĕʹpt;i k s E p t;iksɛpt
exception;4;excĕʹption;i k s E p S @ n;iksɛpʃən
excess;2;excĕʹſs;E k s E s;ɛksɛs
excessive;3;excĕʹſſive;i k s E s i v;iksɛsiv
exchange;2;exchāʹnge;i k s tS eI n dZ;iks??n?
exchequer;3;exchĕʹq_ue_r;E k s tS E k 3:r;ɛks?ɛkɜ:r
excise;2;excīʹſe;E k s aI s;ɛks?s
excision;4;excĭʹſion;i k s I Z @ n;iksɪʒən
excite;2;excīʹte;i k s aI t;iks?t
exclaim;2;exclaiʹm;i k s k l eI m;ikskl?m
exclamation;5;exclāmāʹtion;E k s k l @ m eI S @ n;ɛkskləm?ʃən
exclude;2;exclūʹde;i k s k l u d;iksklud
exclusion;4;exclūʹſion;i k s k l u Z @ n;ikskluʒən
exclusive;3;exclūʹſive;i k s k l u s i v;iksklusiv
excommunicate;5;excŏmmūʹnĭcāte;E k s k @ m j u n @ k eI t;ɛkskəmjunək?t
excommunication;7;excŏmmūnĭcāʹtion;E k s k @ m j u n @ k eI S @ n;ɛkskəmjunək?ʃən
excoriate;4;excŏʹrĭāte;E k s k O: r\ i: eI t;ɛkskOːɹiː?t
excoriation;6;excŏrĭāʹtion;E k s k O: r\ i: eI S @ n;ɛkskOːɹiː?ʃən
excrement;3;ĕʹxcrĕment;E k s k r\ @ m @ n t;ɛkskɹəmənt
excretion;4;excrēʹtion;i k s k r\ i: S @ n;ikskɹiːʃən
excruciating;5;excrūʹcĭāting;i k s k r\ u S i: eI 4 i N;ikskɹuʃiː?ɾiŋ
exculpate;3;excŭʹlpāte;E k s k V l p eI t;ɛkskʌlp?t
excursion;4;excŭʹrſion;i k s k 3:r Z @ n;ikskɜ:rʒən
excusable;4;excūʹſable;i k s k j u z @ b @ l;ikskjuzəbəl
excuse;2;excūʹſe;i k s k j u s;ikskjus
execrable;4;ĕʹxēcrable;E g z E k r\ @ b @ l;ɛgzɛkɹəbəl
execute;3;ĕʹxĕcūte;E k s @ k j u t;ɛksəkjut
execution;5;exĕcūʹtion;E k s @ k j u S @ n;ɛksəkjuʃən
executioner;6;exĕcūʹtioner;E k s @ k j u S @ n 3:r;ɛksəkjuʃənɜ:r
executive;4;exĕʹcūtive;i g z E k j @ 4 i v;igzɛkjəɾiv
executor;4;exĕʹcŭtor;i g z E k j @ 4 3:r;igzɛkjəɾɜ:r
exemplar;3;exĕʹmplar;i g z E m p l A r\;igzɛmplɑɹ
exemplary;4;exĕʹmplăry;i g z E m p l 3:r i:;igzɛmplɜ:riː
exemplify;4;exĕʹmplĭfy;i g z E m p l @ f aI;igzɛmpləf?
exempt;2;exĕʹmpt;i g z E m p t;igzɛmpt
exemption;4;exĕʹm_p_tion;i g z E m p S @ n;igzɛmpʃən
exercise;3;eʹxĕrcīſe;E k s 3:r s aI z;ɛksɜ:rs?z
exert;2;exĕʹrt;i g z 3:r t;igzɜ:rt
exfoliate;4;exfŏʹlĭāte;E k s f @U l i: eI t;ɛksfoʊliː?t
exhalation;5;exhālāʹtion;E k s h @ l eI S @ n;ɛkshəl?ʃən
exhale;2;exhāʹle;E k s h eI l;ɛksh?l
exhaust;2;exhauʹſt;i g z O: s t;igzOːst
exhibit;3;exhĭʹbit;i g z I b i t;igzɪbit
exhibition;5;exhĭbiʹtĭon;E k s @ b I S @ n;ɛksəbɪʃən
exhilarate;4;exhĭʹlărāte;i g z I l 3:r eI t;igzɪlɜ:r?t
exhort;2;exhŏʹrt;i g z O: r\ t;igzOːɹt
exhortation;5;exhŏrtāʹtion;E g z O: r\ t eI S @ n;ɛgzOːɹt?ʃən
exigent;3;ĕʹxĭgent;E k s i dZ @ n t;ɛksi?ənt
exile;2;eʹxīle;E g z aI l;ɛgz?l
exist;2;exĭʹſt;i g z I s t;igzɪst
existence;3;exĭʹſtĕnce;E g z I s t @ n s;ɛgzɪstəns
exit;2;eʹxĭt;E g z i t;ɛgzit
exonerate;4;exŏʹnĕrāte;i g z A n 3:r eI t;igzɑnɜ:r?t
exorbitant;4;exŏʹrbĭtant;i g z O: r\ b i t @ n t;igzOːɹbitənt
exorcist;3;exŏʹrcĭſt.;E k s 3:r s @ s t;ɛksɜ:rsəst
exotic;3;exŏʹtic;i g z A 4 i k;igzɑɾik
expand;2;expăʹnd;i k s p { n d;ikspænd
expanse;2;expăʹnſe;i k s p { n s;ikspæns
expansion;4;expăʹnſion.;i k s p { n S @ n;ikspænʃən
expect;2;expĕʹct;i k s p E k t;ikspɛkt
expectation;5;expĕctāʹtion;E k s p E k t eI S @ n;ɛkspɛkt?ʃən
expedient;4;expĕʹdĭĕnt;i k s p i: 4 i: @ n t;ikspiːɾiːənt
expedite;3;ĕʹxpĕdīte;E k s p i d aI t;ɛkspid?t
expedition;5;expĕdĭʹtion;E k s p @ d I S @ n;ɛkspədɪʃən
expeditious;5;expĕdĭʹti_o_us;E k s p @ d I S @ s;ɛkspədɪʃəs
expel;2;expeʹl;i k s p E l;ikspɛl
expend;2;expĕʹnd;i k s p E n d;ikspɛnd
expensive;3;expĕʹnſive;i k s p E n s i v;ikspɛnsiv
experience;4;expĕʹrĭence;i k s p I r\ i: @ n s;ikspɪɹiːəns
experienced;5;expĕʹrĭĕnced;i k s p I r\ i: @ n s t;ikspɪɹiːənst
experiment;4;expĕʹrĭment;i k s p E r\ @ m @ n t;ikspɛɹəmənt
experimental;5;expĕrĭmĕʹntal;i k s p E r\ @ m E n t @ l;ikspɛɹəmɛntəl
expert;2;expĕʹrt;E k s p 3:r t;ɛkspɜ:rt
expiate;3;ĕʹxpĭāte;E k s p i: eI t;ɛkspiː?t
expiration;5;expīrāʹtion;E k s p 3:r eI S @ n;ɛkspɜ:r?ʃən
expire;2;expīʹre;i k s p aI r\;iksp?ɹ
expiring;3;expīʹring;i k s p aI r\ i N;iksp?ɹiŋ
explain;2;explaiʹn;i k s p l eI n;ikspl?n
explanation;5;explāʹnātion;E k s p l @ n eI S @ n;ɛksplən?ʃən
explanatory;5;explāʹnătŏry;i k s p l { n @ t O: r\ i:;iksplænətOːɹiː
expletive;3;ĕʹxplĕtive;E k s p l @ 4 i v;ɛkspləɾiv
explicable;4;ĕʹxplĭcable;E k s p l i k @ b @ l;ɛksplikəbəl
explication;5;explĭcāʹtion;E k s p l @ k eI S @ n;ɛksplək?ʃən
explicit;3;explĭʹcit;i k s p l I s @ t;iksplɪsət
explode;2;explōʹde;i k s p l @U d;iksploʊd
exploit;2;exploiʹt;E k s p l OI t;ɛkspl?t
explore;2;explōʹre;i k s p l O: r\;iksplOːɹ
explosion;4;explōʹſion;i k s p l @U Z @ n;iksploʊʒən
export;2;expŏʹrt;E k s p O: r\ t;ɛkspOːɹt
exportation;5;expŏrtāʹtion;E k s p O: r\ t eI S @ n;ɛkspOːɹt?ʃən
expose;2;expōʹſe;i k s p @U z;ikspoʊz
exposition;5;expŏsĭʹtion;E k s p @ z I S @ n;ɛkspəzɪʃən
express;2;expreʹſſ;i k s p r\ E s;ikspɹɛs
expression;4;exprĕʹſſion;i k s p r\ E S @ n;ikspɹɛʃən
expressive;3;exprĕʹſſive;i k s p r\ E s i v;ikspɹɛsiv
expulsion;4;expŭʹlſion;i k s p V l S @ n;ikspʌlʃən
expunge;2;expŭʹnge;i k s p V n dZ;ikspʌn?
exquisite;3;ĕʹxquĭsĭte;E k s k w @ z @ t;ɛkskwəzət
extant;2;ĕʹxtănt;E k s t @ n t;ɛkstənt
extend;2;extĕʹnd;i k s t E n d;ikstɛnd
extension;4;extĕʹnſion;i k s t E n S @ n;ikstɛnʃən
extensive;3;extĕʹnsĭve;i k s t E n s i v;ikstɛnsiv
extent;2;extĕʹnt;i k s t E n t;ikstɛnt
extenuate;4;extĕʹnūāte;i k s t E n j u eI t;ikstɛnju?t
exterior;4;extēʹrĭor;i k s t I r\ i: 3:r;ikstɪɹiːɜ:r
exterminate;4;extĕʹrmĭnāte;i k s t 3:r m @ n eI t;ikstɜ:rmən?t
extermination;6;extĕrmĭnāʹtion;i k s t 3:r m @ n eI S @ n;ikstɜ:rmən?ʃən
external;3;extĕʹrnal;i k s t 3:r n @ l;ikstɜ:rnəl
extinct;2;extĭʹnct;i k s t I N k t;ikstɪŋkt
extinction;4;extĭʹnction;i k s t I N k S @ n;ikstɪŋkʃən
extinguish;3;extĭnguiſh;i k s t I N g w i S;ikstɪŋgwiʃ
extirpate;3;extiʹrpāte;E k s t 3:r p eI t;ɛkstɜ:rp?t
extol;2;extoʹl;i k s t @U l;ikstoʊl
extort;2;extŏʹrt;i k s t O: r\ t;ikstOːɹt
extortion;4;extŏʹrtion;i k s t O: r\ S @ n;ikstOːɹʃən
extract;2;extrăʹct;i k s t r\ { k t;ikstɹækt
extraordinary;6;extrăŏʹrdĭnăry;i k s t r\ O: r\ d @ n E r\ i:;ikstɹOːɹdənɛɹiː
extravagance;4;extrăʹvăgănce;i k s t r\ { v @ g @ n s;ikstɹævəgəns
extravagant;4;extrăʹvăgănt;i k s t r\ { v @ g @ n t;ikstɹævəgənt
extreme;2;extrēʹme;i k s t r\ i: m;ikstɹiːm
extremity;4;extrĕʹmĭty;i k s t r\ E m @ 4 i:;ikstɹɛməɾiː
extricate;3;ĕʹxtrĭcāte;E k s t r\ @ k eI t;ɛkstɹək?t
extrude;2;extrūʹde;i k s t r\ u d;ikstɹud
extrusion;4;extrūʹſion;i k s t r\ u Z @ n;ikstɹuʒən
exuberance;4;exūʹbĕrănce;i g z u b 3:r @ n s;igzubɜ:rəns
exuberant;4;exūʹbĕrant;i g z u b 3:r @ n t;igzubɜ:rənt
exult;2;exŭʹlt;i g z V l t;igzʌlt
exultation;5;exŭltāʹtion;i g z V l t eI S @ n;igzʌlt?ʃən
eye;1;eye;aI;?
eyre;1;eyre;E r\;ɛɹ
eyrie;2;eʹyrie;E r\ i:;ɛɹiː
fable;2;fāʹble;f eI b @ l;f?bəl
fabricate;3;fāʹbrĭcāte;f { b r\ @ k eI t;fæbɹək?t
fabric;2;fāʹbric;f { b r\ i k;fæbɹik
fabulous;3;fāʹbŭl_o_ūs;f { b j @ l @ s;fæbjələs
face;1;fāce;f eI s;f?s
facetious;4;făcēʹti_o_us;f @ s i: S @ s;fəsiːʃəs
facile;2;făʹcĭle;f { s @ l;fæsəl
facilitate;4;făcĭʹlĭtāte;f @ s I l @ t eI t;fəsɪlət?t
facility;4;făcĭʹlĭty;f @ s I l i 4 i:;fəsɪliɾiː
fact;1;făct;f { k t;fækt
faction;3;făʹction;f { k S @ n;fækʃən
factitious;4;făctĭʹti_o_us;f { k t I S @ s;fæktɪʃəs
factor;2;făʹctor;f { k t 3:r;fæktɜ:r
factors;2;făctŏrs;f { k t 3:r z;fæktɜ:rz
factory;3;făʹctŏry;f { k t 3:r i:;fæktɜ:riː
faculty;3;făʹcŭlty;f { k @ l t i:;fækəltiː
fade;1;fāde;f eI d;f?d
fag;1;făg;f { g;fæg
faggot;2;făʹggot;f { g @ t;fægət
fail;1;fail;f eI l;f?l
failing;2;faiʹling;f eI l i N;f?liŋ
fain;1;fain;f eI n;f?n
faint;1;faint;f eI n t;f?nt
fair;1;fair;f E r\;fɛɹ
fairy;2;faiʹry;f E r\ i:;fɛɹiː
faith;1;faith;f eI T;f?θ
faithful;2;faiʹthful;f eI T f @ l;f?θfəl
fester;2;fĕʹſt_e_r;f E s t 3:r;fɛstɜ:r
festival;3;fĕʹſtĭval;f E s t @ v @ l;fɛstəvəl
festivity;4;fĕſtĭʹvĭty;f E s t I v @ 4 i:;fɛstɪvəɾiː
festoon;2;fĕſtooʹn;f E s t u n;fɛstun
fetch;1;fĕtch;f E tS;fɛ?
fetid;2;fēʹtĭd;f E 4 @ d;fɛɾəd
